iter	RMSE
0	15.02920751
1	14.85659251
2	14.70544877
3	14.56860262
4	14.45897648
5	14.35230895
6	14.22689267
7	14.05251888
8	13.90613761
9	13.77892848
10	13.65121635
11	13.53132261
12	13.42001489
13	13.31662469
14	13.19050114
15	13.02631323
16	12.91105009
17	12.82174291
18	12.70430675
19	12.59962501
20	12.46598173
21	12.37377246
22	12.24070405
23	12.10452081
24	12.03532209
25	11.94067572
26	11.80629266
27	11.71079361
28	11.61955704
29	11.51283986
30	11.40233201
31	11.3009507
32	11.19257621
33	11.06126431
34	10.95995385
35	10.86906224
36	10.7775092
37	10.65686933
38	10.58501584
39	10.50126656
40	10.39925686
41	10.31508882
42	10.20824403
43	10.13775401
44	10.01977519
45	9.93494754
46	9.803956451
47	9.730744682
48	9.64704992
49	9.561854134
50	9.472921514
51	9.396666891
52	9.31399228
53	9.235052105
54	9.17187608
55	9.097309047
56	9.027482857
57	8.941844209
58	8.848741121
59	8.778558001
60	8.714152441
61	8.656722298
62	8.559938243
63	8.488372555
64	8.42928409
65	8.333531205
66	8.271428256
67	8.21025756
68	8.146465438
69	8.083675567
70	8.015642575
71	7.947539407
72	7.872246472
73	7.801973736
74	7.742880509
75	7.667611657
76	7.611787064
77	7.553276092
78	7.474663282
79	7.390907427
80	7.307529607
81	7.239510495
82	7.187482152
83	7.108154207
84	7.05796723
85	6.988040921
86	6.926983518
87	6.875730842
88	6.805901195
89	6.752708641
90	6.688470593
91	6.64110829
92	6.588561474
93	6.531612722
94	6.479320199
95	6.428203667
96	6.36584415
97	6.306010852
98	6.251482663
99	6.202507414
100	6.158222739
101	6.11375145
102	6.068732087
103	6.024463212
104	5.966940518
105	5.916272152
106	5.857909639
107	5.809678995
108	5.75860921
109	5.714556663
110	5.671636886
111	5.618810945
112	5.576872187
113	5.544626698
114	5.490711024
115	5.445633927
116	5.409275599
117	5.363228137
118	5.321619288
119	5.281912681
120	5.24563211
121	5.194374674
122	5.16525637
123	5.118430412
124	5.080457437
125	5.052240174
126	5.005215984
127	4.96577316
128	4.93341435
129	4.898260852
130	4.858601944
131	4.81793252
132	4.776175185
133	4.738359846
134	4.702639946
135	4.669649073
136	4.62600179
137	4.593444692
138	4.558580191
139	4.518637433
140	4.491776811
141	4.463758521
142	4.433360077
143	4.400913753
144	4.365694827
145	4.336657182
146	4.302735791
147	4.264344894
148	4.229303168
149	4.190178274
150	4.157762254
151	4.120459953
152	4.091963852
153	4.061337766
154	4.036597665
155	4.007473349
156	3.974504
157	3.942693303
158	3.916610448
159	3.886433657
160	3.859577036
161	3.834326753
162	3.808371847
163	3.776566108
164	3.755109715
165	3.727494252
166	3.703262883
167	3.677622066
168	3.652310629
169	3.628005665
170	3.603486791
171	3.578222396
172	3.551479545
173	3.52492266
174	3.494264702
175	3.471568996
176	3.448607337
177	3.4205468
178	3.39943631
179	3.373947083
180	3.352903654
181	3.333247226
182	3.306598045
183	3.286577326
184	3.262428753
185	3.241777436
186	3.22107653
187	3.195473663
188	3.167531031
189	3.142503246
190	3.115898138
191	3.090615414
192	3.063173378
193	3.044593396
194	3.017058996
195	2.990040636
196	2.968441951
197	2.951870512
198	2.933380004
199	2.912697264
200	2.893964691
201	2.874687886
202	2.856120292
203	2.835437133
204	2.813081322
205	2.794828297
206	2.774938657
207	2.755093267
208	2.737749099
209	2.715531455
210	2.696381353
211	2.678337428
212	2.660991266
213	2.645370745
214	2.623607388
215	2.607563076
216	2.586816674
217	2.569876827
218	2.552673593
219	2.534892351
220	2.519438935
221	2.501230657
222	2.479068183
223	2.462731877
224	2.447369796
225	2.431128292
226	2.411293617
227	2.395436143
228	2.380159429
229	2.36529572
230	2.3499515
231	2.333609278
232	2.319096579
233	2.304682702
234	2.285296143
235	2.270336388
236	2.253853467
237	2.238689021
238	2.224440345
239	2.210339955
240	2.196197032
241	2.182768455
242	2.169266951
243	2.155109491
244	2.141172499
245	2.124560859
246	2.110255686
247	2.096811458
248	2.082702092
249	2.06826018
250	2.054170624
251	2.040812622
252	2.027171309
253	2.012423745
254	2.000224423
255	1.988173456
256	1.974822388
257	1.962076861
258	1.94986334
259	1.937909399
260	1.924950382
261	1.91201551
262	1.900655529
263	1.887985371
264	1.8754182
265	1.862953128
266	1.851403975
267	1.839106252
268	1.827655154
269	1.816632331
270	1.805743154
271	1.794958957
272	1.783096189
273	1.771249275
274	1.759870607
275	1.748276444
276	1.736740603
277	1.726076704
278	1.715009965
279	1.703808663
280	1.693669214
281	1.682115061
282	1.670739139
283	1.660990992
284	1.650858025
285	1.64037589
286	1.629929663
287	1.619316888
288	1.609481709
289	1.599074711
290	1.589507032
291	1.579489699
292	1.569258913
293	1.559309429
294	1.549352187
295	1.539242107
296	1.530053839
297	1.520628614
298	1.511005525
299	1.501171359
300	1.491687386
301	1.482437028
302	1.473086927
303	1.464375895
304	1.455385565
305	1.445614554
306	1.436866562
307	1.428434204
308	1.41968046
309	1.410810351
310	1.401825398
311	1.393039473
312	1.38418447
313	1.375773966
314	1.367799738
315	1.359435881
316	1.350843451
317	1.342602555
318	1.334221971
319	1.32577673
320	1.31739816
321	1.309085718
322	1.300838868
323	1.29306208
324	1.284934545
325	1.277548007
326	1.269936208
327	1.261977691
328	1.254033218
329	1.246191506
330	1.238411555
331	1.230557118
332	1.223522547
333	1.215882029
334	1.208302024
335	1.200811417
336	1.193379732
337	1.186671369
338	1.18001183
339	1.17273173
340	1.165508886
341	1.158342841
342	1.15123314
343	1.144179335
344	1.137180981
345	1.130840873
346	1.124546752
347	1.117691005
348	1.110889152
349	1.104140767
350	1.098021229
351	1.091740786
352	1.085707939
353	1.079514335
354	1.073364879
355	1.066875857
356	1.060594513
357	1.054040898
358	1.048256582
359	1.041580615
360	1.035214821
361	1.02935104
362	1.023528923
363	1.016898144
364	1.010318754
365	1.003790335
366	0.9978014302
367	0.9913650316
368	0.9854604792
369	0.9812354246
370	0.975400086
371	0.9711606
372	0.9678489775
373	0.963673659
374	0.9595866966
375	0.956351001
376	0.950391519
377	0.9452451537
378	0.9412680126
379	0.9373340674
380	0.9314864133
381	0.9256832752
382	0.9218270726
383	0.9179031528
384	0.9148619149
385	0.9118454355
386	0.9062721527
387	0.9012177153
388	0.8957215173
389	0.8927828676
390	0.8872259664
391	0.8843293877
392	0.8786620821
393	0.8749938735
394	0.8698534892
395	0.8662443054
396	0.8609778661
397	0.8557520911
398	0.8522186035
399	0.8487486824
400	0.845303909
401	0.8418357686
402	0.8391614902
403	0.8357913163
404	0.8323938362
405	0.8290263447
406	0.8256886149
407	0.8206883878
408	0.815467113
409	0.8122027969
410	0.8089785304
411	0.8057598234
412	0.8025696741
413	0.7977253107
414	0.7945829592
415	0.7911218991
416	0.7861086874
417	0.7826863754
418	0.7796283013
419	0.7762513262
420	0.7732340328
421	0.7699118653
422	0.7666179739
423	0.7633514417
424	0.7601106915
425	0.7568968378
426	0.7537103555
427	0.7505462382
428	0.7474090699
429	0.7442978787
430	0.7412111856
431	0.7381500439
432	0.735112986
433	0.7321010649
434	0.7291128247
435	0.7261493172
436	0.7232090983
437	0.7202940187
438	0.7174002451
439	0.7145312412
440	0.7116868148
441	0.7088618528
442	0.7060611196
443	0.7032836009
444	0.7005299451
445	0.697795054
446	0.695083694
447	0.6923948138
448	0.6897291131
449	0.6870815142
450	0.6844567782
451	0.6818538195
452	0.6792733851
453	0.6767104236
454	0.6727331639
455	0.6702063082
456	0.6662920698
457	0.6637944194
458	0.6613184334
459	0.6574743878
460	0.6550305884
461	0.6526086853
462	0.6488361953
463	0.6464424215
464	0.644069474
465	0.6403646175
466	0.638022536
467	0.6357008658
468	0.6333974481
469	0.6297715661
470	0.6274975412
471	0.6239268593
472	0.6216824458
473	0.6194583331
474	0.6159541843
475	0.6137559178
476	0.6115769177
477	0.6081356187
478	0.605985036
479	0.6038533403
480	0.6017388066
481	0.5983707915
482	0.5962830896
483	0.5929665775
484	0.5909061552
485	0.5888651418
486	0.5856172275
487	0.5836125994
488	0.5816263847
489	0.5796263081
490	0.5776424721
491	0.5744899439
492	0.5725600534
493	0.5706479624
494	0.5675696217
495	0.5656404797
496	0.5637732224
497	0.5619440633
498	0.5601321065
499	0.5583371831
500	0.5565591264
501	0.5547977725
502	0.5530529597
503	0.5513245286
504	0.5496123224
505	0.5479161861
506	0.5462359671
507	0.544571515
508	0.5429226813
509	0.5412893196
510	0.5396712852
511	0.5380684357
512	0.5349217243
513	0.5333437282
514	0.5302332989
515	0.5286796926
516	0.5271406207
517	0.5240753675
518	0.5225600021
519	0.5195298102
520	0.5180377151
521	0.5150420842
522	0.5135728339
523	0.5106112725
524	0.5091644517
525	0.5077311054
526	0.5048116923
527	0.503400163
528	0.5005136961
529	0.4991235923
530	0.496269609
531	0.4949005482
532	0.4925311751
533	0.4901783288
534	0.4888402476
535	0.4861489303
536	0.4838352698
537	0.4825256818
538	0.479876712
539	0.4772012617
540	0.4759178469
541	0.4733160821
542	0.4720513384
543	0.4694304795
544	0.4681842592
545	0.4656352759
546	0.4634386499
547	0.4608773335
548	0.4596640064
549	0.4571727224
