iter	Passed	Remaining
0	151	151719
1	152	76010
2	152	50759
3	152	38071
4	153	30511
5	153	25450
6	154	21875
7	154	19173
8	155	17072
9	155	15381
10	155	14014
11	156	12860
12	156	11883
13	156	11044
14	157	10311
15	157	9664
16	157	9100
17	157	8600
18	157	8154
19	158	7755
20	158	7394
21	159	7071
22	159	6773
23	159	6505
24	160	6257
25	160	6026
26	161	5810
27	161	5611
28	161	5422
29	162	5245
30	162	5086
31	163	4936
32	163	4795
33	164	4661
34	164	4529
35	164	4411
36	165	4300
37	165	4195
38	166	4096
39	166	4002
40	167	3918
41	167	3831
42	168	3748
43	168	3668
44	169	3595
45	169	3524
46	170	3450
47	170	3381
48	170	3317
49	171	3254
50	171	3193
51	171	3135
52	172	3081
53	172	3028
54	173	2976
55	173	2926
56	174	2879
57	174	2837
58	175	2794
59	175	2751
60	175	2707
61	176	2668
62	176	2628
63	177	2590
64	177	2553
65	177	2515
66	178	2480
67	178	2444
68	178	2412
69	179	2379
70	179	2347
71	179	2316
72	180	2286
73	180	2255
74	180	2228
75	180	2200
76	181	2173
77	181	2146
78	181	2121
79	182	2096
80	182	2072
81	183	2048
82	183	2026
83	183	2005
84	184	1986
85	184	1965
86	185	1943
87	185	1923
88	185	1903
89	186	1883
90	186	1864
91	186	1845
92	187	1826
93	187	1808
94	187	1789
95	188	1772
96	188	1754
97	188	1737
98	189	1722
99	189	1706
100	190	1691
101	190	1676
102	190	1661
103	191	1646
104	191	1631
105	191	1617
106	191	1602
107	192	1588
108	192	1574
109	192	1561
110	193	1548
111	193	1534
112	193	1522
113	194	1510
114	194	1497
115	194	1485
116	195	1474
117	195	1462
118	196	1451
119	196	1440
120	196	1429
121	197	1419
122	197	1409
123	198	1399
124	198	1389
125	198	1379
126	199	1368
127	199	1358
128	199	1348
129	200	1339
130	200	1329
131	200	1320
132	201	1310
133	201	1301
134	201	1291
135	201	1282
136	202	1273
137	202	1265
138	202	1257
139	203	1249
140	203	1242
141	204	1235
142	204	1227
143	205	1219
144	205	1211
145	205	1204
146	206	1196
147	206	1189
148	207	1182
149	207	1174
150	207	1167
151	207	1159
152	208	1153
153	208	1146
154	209	1139
155	209	1133
156	209	1126
157	210	1119
158	210	1113
159	210	1107
160	211	1101
161	211	1095
162	212	1089
163	212	1083
164	212	1077
165	213	1071
166	213	1065
167	214	1059
168	214	1054
169	214	1048
170	215	1042
171	215	1037
172	215	1031
173	216	1026
174	216	1020
175	216	1015
176	217	1009
177	217	1004
178	217	999
179	218	994
180	218	989
181	218	983
182	219	978
183	219	973
184	219	968
185	220	963
186	220	959
187	221	954
188	221	950
189	221	945
190	222	941
191	222	936
192	222	931
193	223	926
194	223	922
195	223	918
196	224	913
197	224	909
198	225	905
199	225	901
200	225	897
201	226	893
202	226	889
203	226	884
204	227	880
205	227	876
206	227	872
207	228	868
208	228	864
209	228	861
210	229	857
211	229	853
212	230	850
213	230	846
214	230	842
215	231	839
216	231	835
